时间,牛熊指标择时,上证50
2011/1/13,1,1
2011/1/14,1,0.984338935
2011/1/17,1,0.95246422
2011/1/18,1,0.955082175
2011/1/19,1,0.969806377
2011/1/20,1,0.940837577
2011/1/21,1,0.956146139
2011/1/24,1,0.94915367
2011/1/25,1,0.948931246
2011/1/26,1,0.956244442
2011/1/27,1,0.967830374
2011/1/28,1,0.965729753
2011/1/31,1,0.975145556
2011/2/1,1,0.977419946
2011/2/9,1,0.964667279
2011/2/10,1,0.981040798
2011/2/11,1,0.981285564
2011/2/14,1,1.016645591
2011/2/15,1,1.014138351
2011/2/16,1,1.018529248
2011/2/17,1,1.01628862
2011/2/18,1,1.0080187
2011/2/21,1,1.01584675
2011/2/22,1,0.988504429
2011/2/23,1,0.990821019
2011/2/24,1,0.994372363
2011/2/25,1,0.996272901
2011/2/28,1,1.003813984
2011/3/1,1,1.01052445
2011/3/2,1,1.013268512
2011/3/3,1,1.018609182
2011/3/4,1,1.032755973
2011/3/7,1,1.054172767
2011/3/8,1,1.054421505
2011/3/9,1,1.05264906
2011/3/10,1,1.028576081
2011/3/11,1,1.017350101
2011/3/14,1,1.019538102
2011/3/15,1,1.002096152
2011/3/16,1,1.017259244
2011/3/17,1,1.00440877
2011/3/18,1,1.010087545
2011/3/21,1,1.010954404
2011/3/22,1,1.020150266
2011/3/23,1,1.030107235
2011/3/24,1,1.024823165
2011/3/25,1,1.040770701
2011/3/28,1,1.044125437
2011/3/29,1,1.041405206
2011/3/30,1,1.043329575
2011/3/31,1,1.034545795
2011/4/1,1,1.055747115
2011/4/6,1,1.08023714
2011/4/7,1,1.079553483
2011/4/8,1,1.084972597
2011/4/11,1,1.080329486
2011/4/12,1,1.075299615
2011/4/13,1,1.091880167
2011/4/14,1,1.087371107
2011/4/15,1,1.092802136
2011/4/18,1,1.092943634
2011/4/19,0.977553079,1.068410415
2011/4/20,0.974062982,1.064595935
2011/4/21,0.981524241,1.072750671
2011/4/22,0.977422252,1.068267428
2011/4/25,0.966425923,1.05624906
2011/4/26,0.962275782,1.05171319
2011/4/27,0.959861832,1.049074878
2011/4/28,0.95916999,1.048318734
2011/4/29,0.960252043,1.049501357
2011/5/3,0.96050007,1.049772437
2011/5/4,0.934280955,1.021116422
2011/5/5,0.931269195,1.017824738
2011/5/6,0.925672229,1.011707569
2011/5/9,0.925225235,1.01121903
2011/5/10,0.934720227,1.021596521
2011/5/11,0.930484684,1.016967312
2011/5/12,0.918192799,1.003532974
2011/5/13,0.928175669,1.014443688
2011/5/16,0.917399203,1.002665618
2011/5/17,0.923869716,1.009737524
2011/5/18,0.932890004,1.01959619
2011/5/19,0.929472134,1.015860651
2011/5/20,0.932393495,1.019053534
2011/5/23,0.905375332,0.989524205
2011/5/24,0.906377435,0.990619447
2011/5/25,0.895395188,0.97861647
2011/5/26,0.89686291,0.980220607
2011/5/27,0.89793724,0.98139479
2011/5/30,0.89977564,0.983404057
2011/5/31,0.913323561,0.998211171
2011/6/1,0.909732617,0.994286472
2011/6/2,0.891740647,0.974622263
2011/6/3,0.897145915,0.980529916
2011/6/7,0.901459136,0.985244024
2011/6/8,0.89974475,0.983370297
2011/6/9,0.884846307,0.967087138
2011/6/10,0.886279959,0.968654039
2011/6/13,0.883867372,0.966017217
2011/6/14,0.894941834,0.97812098
2011/6/15,0.886754663,0.969172864
2011/6/16,0.875384931,0.956746387
2011/6/17,0.86872181,0.949463972
2011/6/20,0.865278956,0.945701126
2011/6/21,0.873917209,0.95514225
2011/6/22,0.873801826,0.955016143
2011/6/23,0.88620864,0.968576091
2011/6/24,0.907297316,0.991624826
2011/6/27,0.906063994,0.990276874
2011/6/28,0.905673328,0.989849898
2011/6/29,0.890704475,0.973489785
2011/6/30,0.903724543,0.987719985
2011/7/1,0.902178688,0.986030453
2011/7/4,0.923903785,1.00977476
2011/7/5,0.921981347,1.007673644
2011/7/6,0.916325326,1.001491932
2011/7/7,0.911314358,0.996015226
2011/7/8,0.91521738,1.000281009
2011/7/11,0.913380343,0.998273232
2011/7/12,0.894022861,0.977116595
2011/7/13,0.907803819,0.992178404
2011/7/14,0.91113765,0.995822094
2011/7/15,0.913990418,0.998940008
2011/7/18,0.909808478,0.994369384
2011/7/19,0.903208501,0.987155981
2011/7/20,0.90110572,0.98485776
