时间,上证指数
2011-01-13,1.0
2011-01-14,1.0
2011-01-17,1.0
2011-01-18,1.0
2011-01-19,1.0
2011-01-20,1.0
2011-01-21,1.0
2011-01-24,1.0
2011-01-25,1.0
2011-01-26,1.0
2011-01-27,1.0
2011-01-28,1.0
2011-01-31,1.0
2011-02-01,1.0
2011-02-09,1.0
2011-02-10,1.0
2011-02-11,1.0
2011-02-14,1.0
2011-02-15,1.0
2011-02-16,1.0
2011-02-17,1.0
2011-02-18,1.0
2011-02-21,1.0
2011-02-22,1.0
2011-02-23,1.0
2011-02-24,1.0
2011-02-25,1.0
2011-02-28,1.0
2011-03-01,1.0
2011-03-02,1.0
2011-03-03,1.0
2011-03-04,1.0
2011-03-07,1.0
2011-03-08,1.0
2011-03-09,1.0
2011-03-10,1.0
2011-03-11,1.0
2011-03-14,1.0
2011-03-15,1.0
2011-03-16,1.0
2011-03-17,1.0
2011-03-18,1.0
2011-03-21,1.0
2011-03-22,1.0
2011-03-23,1.0
2011-03-24,1.0
2011-03-25,1.0
2011-03-28,1.0
2011-03-29,1.0
2011-03-30,1.0
2011-03-31,1.0
2011-04-01,1.0
2011-04-06,1.0
2011-04-07,1.0
2011-04-08,1.0
2011-04-11,1.0
2011-04-12,1.0
2011-04-13,1.0
2011-04-14,1.0
2011-04-15,1.0
2011-04-18,1.0
2011-04-19,0.9809349926030205
2011-04-20,0.9835503473783817
2011-04-21,0.9899713115598617
2011-04-22,0.9846885958298894
2011-04-25,0.9697847369386808
2011-04-26,0.9612903943278596
2011-04-27,0.9568508982840905
2011-04-28,0.9443026903548817
2011-04-29,0.9523054273844915
2011-05-03,0.9590685202672006
2011-05-04,0.937425118461245
2011-05-05,0.9395141968692281
2011-05-06,0.9367281048261409
2011-05-09,0.9395325135109766
2011-05-10,0.9454769179241098
2011-05-11,0.9431173419674497
2011-05-12,0.9302508823878624
2011-05-13,0.9390651120635041
2011-05-16,0.9318810635034702
2011-05-17,0.9330932326877486
2011-05-18,0.9396342362892582
2011-05-19,0.9353177234115143
2011-05-20,0.934953025990988
2011-05-23,0.9075140424861051
2011-05-24,0.905056668745824
2011-05-25,0.8967765654268812
2011-05-26,0.8950711552469496
2011-05-27,0.886377292074226
2011-05-30,0.8852043728365515
2011-05-31,0.89734274590664
2011-06-01,0.8973754541954764
2011-06-02,0.8848184150282817
2011-06-03,0.8922886611156344
2011-06-07,0.8976135705382058
2011-06-08,0.8995721428737312
2011-06-09,0.8842178908452448
2011-06-10,0.884805985878524
2011-06-13,0.8832477629983564
2011-06-14,0.8929493685501306
2011-06-15,0.8849001857503731
2011-06-16,0.871441379059958
2011-06-17,0.8644205448612179
2011-06-20,0.8573670023736413
2011-06-21,0.8656193036470731
2011-06-22,0.8665475648842509
2011-06-23,0.8792802475624972
2011-06-24,0.8982386259378701
2011-06-27,0.9021698351731209
2011-06-28,0.9024877597406111
2011-06-29,0.8924401004929475
2011-06-30,0.9034277959617701
2011-07-01,0.9025400930027494
2011-07-04,0.9200246358831525
2011-07-05,0.9211815280592972
2011-07-06,0.9192595890072685
2011-07-07,0.9139569212211061
2011-07-08,0.9151040009105996
2011-07-11,0.9167125945555755
2011-07-12,0.9009766367963681
2011-07-13,0.9143523644331386
2011-07-14,0.9192481411061757
2011-07-15,0.9224290221955186
2011-07-18,0.9212904466611225
2011-07-19,0.9148452783459035
2011-07-20,0.9139366420820273
2011-07-21,0.904676598429545
2011-07-22,0.9062779962509767
2011-07-25,0.8794428077580144
2011-07-26,0.884113551403857
2011-07-27,0.8908076297971214
2011-07-28,0.8859946050948403
