时间,牛熊指标择时,中证500
2011/1/13,1,1
2011/1/14,1,0.978592044
2011/1/17,1,0.936428538
2011/1/18,1,0.939961137
2011/1/19,1,0.962569071
2011/1/20,1,0.927612266
2011/1/21,1,0.933612776
2011/1/24,1,0.911273346
2011/1/25,1,0.899549946
2011/1/26,1,0.916742235
2011/1/27,1,0.932884751
2011/1/28,1,0.942290238
2011/1/31,1,0.955270796
2011/2/1,1,0.959356355
2011/2/9,1,0.955033991
2011/2/10,1,0.980777155
2011/2/11,1,0.991723014
2011/2/14,1,1.009475928
2011/2/15,1,1.008894171
2011/2/16,1,1.026085838
2011/2/17,1,1.033298341
2011/2/18,1,1.023758188
2011/2/21,1,1.044794051
2011/2/22,1,1.017193325
2011/2/23,1,1.031553277
2011/2/24,1,1.04163748
2011/2/25,1,1.042687046
2011/2/28,1,1.05561726
2011/3/1,1,1.061259351
2011/3/2,1,1.058420799
2011/3/3,1,1.037766558
2011/3/4,1,1.049901828
2011/3/7,1,1.06453422
2011/3/8,1,1.070228934
2011/3/9,1,1.073467755
2011/3/10,1,1.065604297
2011/3/11,1,1.064844574
2011/3/14,1,1.075263785
2011/3/15,1,1.063101374
2011/3/16,1,1.077194895
2011/3/17,1,1.057466535
2011/3/18,1,1.062190203
2011/3/21,1,1.053731936
2011/3/22,1,1.053670612
2011/3/23,1,1.068074693
2011/3/24,1,1.070960067
2011/3/25,1,1.079885521
2011/3/28,1,1.077235088
2011/3/29,1,1.05892072
2011/3/30,1,1.049264548
2011/3/31,1,1.035975501
2011/4/1,1,1.049374559
2011/4/6,1,1.047875416
2011/4/7,1,1.054486687
2011/4/8,1,1.06672016
2011/4/11,1,1.058088692
2011/4/12,1,1.059605652
2011/4/13,1,1.070119544
2011/4/14,1,1.06714902
2011/4/15,1,1.069541102
2011/4/18,1,1.072955195
2011/4/19,0.987883513,1.059954748
2011/4/20,0.99488327,1.067465174
2011/4/21,1.001779724,1.074864759
2011/4/22,0.997340938,1.070102141
2011/4/25,0.976032334,1.047238964
2011/4/26,0.959774809,1.029795368
2011/4/27,0.948754116,1.017970658
2011/4/28,0.918230031,0.985219683
2011/4/29,0.933957328,1.002094367
2011/5/3,0.950119852,1.019436031
2011/5/4,0.929692904,0.997518831
2011/5/5,0.932093223,1.000094266
2011/5/6,0.932093223,1.004809026
2011/5/9,0.932093223,1.013086012
2011/5/10,0.932093223,1.019043221
2011/5/11,0.932093223,1.021283649
2011/5/12,0.932093223,1.007673475
2011/5/13,0.932093223,1.015705576
2011/5/16,0.932093223,1.015320639
2011/5/17,0.932093223,1.009778201
2011/5/18,0.932093223,1.016456598
2011/5/19,0.932093223,1.011008427
2011/5/20,0.932093223,1.007547096
2011/5/23,0.932093223,0.969497118
2011/5/24,0.932093223,0.967953431
2011/5/25,0.932093223,0.956905019
2011/5/26,0.932093223,0.947415003
2011/5/27,0.932093223,0.917571363
2011/5/30,0.932093223,0.900200279
2011/5/31,0.932093223,0.920758182
2011/6/1,0.932093223,0.930416012
2011/6/2,0.932093223,0.917800295
2011/6/3,0.932093223,0.933586671
2011/6/7,0.932093223,0.942103155
2011/6/8,0.93530501,0.945349434
2011/6/9,0.913527827,0.923338382
2011/6/10,0.916052941,0.925890614
2011/6/13,0.915999237,0.925836333
2011/6/14,0.930788748,0.940784672
2011/6/15,0.922334466,0.932239597
2011/6/16,0.902338739,0.912029133
2011/6/17,0.889061139,0.898608942
2011/6/20,0.877046609,0.886465385
2011/6/21,0.88927739,0.898827515
2011/6/22,0.885751168,0.895263424
2011/6/23,0.902501696,0.912193839
2011/6/24,0.924278879,0.934204892
2011/6/27,0.936374376,0.946430284
2011/6/28,0.937663272,0.947733022
2011/6/29,0.92476365,0.934694869
2011/6/30,0.938658436,0.948738874
2011/7/1,0.943867726,0.954004107
2011/7/4,0.967367331,0.977756079
2011/7/5,0.97352341,0.983978269
2011/7/6,0.975879213,0.986359371
2011/7/7,0.975988875,0.986470212
2011/7/8,0.974997196,0.985467882
2011/7/11,0.983771448,0.994336363
2011/7/12,0.969771098,0.980185661
2011/7/13,0.989100649,0.999722795
2011/7/14,0.997452648,1.008164488
2011/7/15,1.003576955,1.014354566
2011/7/18,1.003416458,1.014192345
2011/7/19,0.992848861,1.00351126
2011/7/20,0.993945899,1.004620079
2011/7/21,0.980690231,0.991222057
2011/7/22,0.984082603,0.99465086
2011/7/25,0.94570924,0.955865398
2011/7/26,0.949735402,0.959934797
2011/7/27,0.965520077,0.975888987
2011/7/28,0.959477146,0.969781159
2011/7/29,0.948699857,0.958888131
2011/8/1,0.952008598,0.962232406
2011/8/2,0.945105173,0.955254843
2011/8/3,0.948054794,0.958236141
2011/8/4,0.9530259,0.963260632
2011/8/5,0.93449453,0.944530251
2011/8/8,0.88770911,0.897242393
2011/8/9,0.884908302,0.894411507
2011/8/10,0.89753305,0.907171834
2011/8/11,0.913049001,0.922854413
2011/8/12,0.923603684,0.933522446
2011/8/15,0.937097945,0.947161624
2011/8/16,0.929227232,0.939206386
2011/8/17,0.925161306,0.935096795
2011/8/18,0.909299354,0.919064498
2011/8/19,0.900878482,0.910553193
2011/8/22,0.894511892,0.904118231
2011/8/23,0.909057686,0.918820235
2011/8/24,0.907634324,0.917381588
2011/8/25,0.926531783,0.93648199
2011/8/26,0.928633209,0.938605983
2011/8/29,0.928633209,0.930263943
2011/8/30,0.928633209,0.922301661
2011/8/31,0.928633209,0.917911964
2011/9/1,0.928633209,0.910563552
2011/9/2,0.928633209,0.90018557
2011/9/5,0.928633209,0.878036537
2011/9/6,0.928633209,0.871166292
2011/9/7,0.928633209,0.892185167
2011/9/8,0.928633209,0.88261228
2011/9/9,0.928633209,0.877141319
2011/9/13,0.928633209,0.862750704
2011/9/14,0.928633209,0.872662328
2011/9/15,0.928633209,0.873360726
2011/9/16,0.928633209,0.873219016
2011/9/19,0.928633209,0.856037501
2011/9/20,0.928633209,0.860174026
2011/9/21,0.928633209,0.885707319
2011/9/22,0.928633209,0.86016346
2011/9/23,0.928633209,0.853105926
2011/9/26,0.928633209,0.839367923
2011/9/27,0.928633209,0.842849764
2011/9/28,0.928633209,0.828668607
2011/9/29,0.928633209,0.802000184
2011/9/30,0.928633209,0.79905162
2011/10/10,0.928633209,0.794027336
2011/10/11,0.928633209,0.790992171
2011/10/12,0.928633209,0.818490552
2011/10/13,0.928633209,0.829097674
2011/10/14,0.928633209,0.825646081
2011/10/17,0.928633209,0.828117305
2011/10/18,0.928633209,0.803235796
