时间,牛熊指标择时,沪深300
2011/1/13,1,1
2011/1/14,1,0.984266943
2011/1/17,1,0.946858036
2011/1/18,1,0.947907926
2011/1/19,1,0.969301407
2011/1/20,1,0.937423359
2011/1/21,1,0.949756851
2011/1/24,1,0.940453649
2011/1/25,1,0.93549453
2011/1/26,1,0.948157187
2011/1/27,1,0.963448704
2011/1/28,1,0.96671775
2011/1/31,1,0.979379133
2011/2/1,1,0.979625847
2011/2/9,1,0.968059239
2011/2/10,1,0.988182858
2011/2/11,1,0.993528761
2011/2/14,1,1.024785725
2011/2/15,1,1.024317126
2011/2/16,1,1.034139861
2011/2/17,1,1.033305807
2011/2/18,1,1.022472339
2011/2/21,1,1.03712622
2011/2/22,1,1.007097098
2011/2/23,1,1.010651059
2011/2/24,1,1.015805957
2011/2/25,1,1.017933113
2011/2/28,1,1.031284978
2011/3/1,1,1.036166421
2011/3/2,1,1.032475255
2011/3/3,1,1.025605453
2011/3/4,1,1.041187616
2011/3/7,1,1.061511789
2011/3/8,1,1.062449941
2011/3/9,1,1.062895937
2011/3/10,1,1.044241463
2011/3/11,1,1.033773451
2011/3/14,1,1.038721746
2011/3/15,1,1.019952669
2011/3/16,1,1.034034172
2011/3/17,1,1.01776853
2011/3/18,1,1.023684901
2011/3/21,1,1.020955125
2011/3/22,1,1.026001151
2011/3/23,1,1.039360338
2011/3/24,1,1.03504204
2011/3/25,1,1.048769866
2011/3/28,1,1.047524197
2011/3/29,1,1.037148822
2011/3/30,1,1.036544292
2011/3/31,1,1.026105249
2011/4/1,1,1.041844354
2011/4/6,1,1.054048918
2011/4/7,1,1.058299409
2011/4/8,1,1.067511884
2011/4/11,1,1.061167026
2011/4/12,1,1.059048147
2011/4/13,1,1.073456268
2011/4/14,1,1.067576189
2011/4/15,1,1.069290137
2011/4/18,1,1.069447398
2011/4/19,0.981060523,1.049192623
2011/4/20,0.981044449,1.049175433
2011/4/21,0.987476774,1.056054467
2011/4/22,0.982289895,1.050507372
2011/4/25,0.967296911,1.034473164
2011/4/26,0.961756103,1.028547562
2011/4/27,0.955369023,1.021716916
2011/4/28,0.941162182,1.006523447
2011/4/29,0.95037414,1.016375151
2011/5/3,0.955853926,1.022235494
2011/5/4,0.931414123,0.996098411
2011/5/5,0.930547609,0.99517172
2011/5/6,0.929142315,0.993668831
2011/5/9,0.931631719,0.996331118
2011/5/10,0.938615626,1.003800038
2011/5/11,0.936193792,1.001210015
2011/5/12,0.923250556,0.987367904
2011/5/13,0.931135803,0.995800762
2011/5/16,0.922911213,0.987004995
2011/5/17,0.927544429,0.991959976
2011/5/18,0.934495294,0.99939356
2011/5/19,0.92891698,0.993427847
2011/5/20,0.929201849,0.993732499
2011/5/23,0.899846939,0.962338967
2011/5/24,0.900812279,0.963371348
2011/5/25,0.890131921,0.951949267
2011/5/26,0.886571206,0.94814127
2011/5/27,0.882084444,0.943342913
2011/5/30,0.879464363,0.940540874
2011/5/31,0.893469682,0.955518826
2011/6/1,0.894248681,0.956351925
2011/6/2,0.879821268,0.940922565
2011/6/3,0.888943032,0.950677812
2011/6/7,0.894275173,0.956380257
2011/6/8,0.89558194,0.957777775
2011/6/9,0.878685363,0.939707776
